faixa_etaria;tamanho_familia;renda_familiar;redacao;sexo_feminino;escola_privada;escola_publica;treineiro;media_objetivas;faltou;branco_amarelo;preto_pardo_indigena;acesso_tecnologia
5;4;1;600.0;1;0;0;0;519.6750000000001;0;0;1;1
1;4;11;0.0;0;0;0;0;561.4000000000001;0;1;0;1
0;4;2;720.0;0;0;1;0;588.925;0;0;1;1
0;2;11;640.0;1;0;1;0;543.3;0;1;0;1
0;3;13;540.0;0;0;1;0;656.8000000000001;0;1;0;1
9;4;1;0.0;1;0;1;0;487.55;1;0;1;1
4;2;2;540.0;1;0;0;0;585.25;0;1;0;1
19;5;1;820.0;1;0;0;1;515.675;0;0;1;1
19;3;4;860.0;0;0;0;1;532.625;0;1;0;1
1;4;1;540.0;0;0;0;0;571.125;0;0;1;1
3;4;10;580.0;1;0;0;0;624.45;0;1;0;1
3;3;2;;1;0;0;0;;1;1;0;1
1;5;3;780.0;1;0;1;0;511.375;0;1;0;1
0;4;8;0.0;1;0;1;0;416.04999999999995;0;0;1;1
10;6;1;;0;0;0;0;;1;0;1;1
19;5;1;520.0;0;0;0;1;400.5;0;0;1;1
2;4;3;;1;0;0;0;;1;0;1;1
1;5;4;920.0;1;0;0;0;563.25;0;0;1;1
0;3;2;740.0;1;0;1;0;532.25;0;1;0;1
1;4;16;560.0;0;0;1;0;495.15;0;0;1;1
9;3;2;580.0;1;0;0;0;517.625;0;0;1;1
0;4;2;780.0;0;0;0;1;626.425;0;1;0;1
1;5;9;920.0;0;0;0;0;649.7;0;1;0;1
12;4;2;300.0;1;0;0;0;417.9;0;0;1;1
0;5;9;640.0;1;0;0;1;485.15;0;1;0;1
5;5;9;720.0;0;0;0;0;506.325;0;1;0;1
0;3;1;;0;0;0;1;560.25;1;0;1;1
0;3;9;560.0;0;1;0;0;469.975;0;0;1;1
1;4;2;480.0;1;0;1;0;473.725;0;0;1;1
1;3;14;;1;0;1;0;;1;1;0;1
14;1;15;;0;0;0;0;;1;1;0;1
5;4;2;;0;0;0;0;;1;0;1;1
0;5;2;560.0;0;0;1;0;539.85;0;0;1;1
0;3;1;740.0;1;0;1;0;510.20000000000005;1;1;0;1
0;3;2;;0;0;0;1;;1;0;1;1
0;4;11;780.0;1;1;0;0;559.525;0;1;0;1
0;3;7;960.0;0;1;0;0;687.875;0;1;0;1
